epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,0.5633251047815595,0.7107142857142857,0.545979506333669,0.7183333333333334
2,0.5004713529178074,0.7578571428571429,0.5460209600925445,0.7373333333333333
3,0.48357470999445235,0.7735714285714286,0.49607446972529096,0.7536666666666667
4,0.46270044892174855,0.7828571428571428,0.47821532233556113,0.7666666666666667
5,0.4582185020106179,0.7892857142857143,0.45785621547698974,0.784
6,0.45513103798457555,0.7872857142857143,0.45383649508158364,0.7856666666666666
7,0.4476083748000009,0.7908571428571428,0.4606983324686686,0.7816666666666666
8,0.44973105549812314,0.791,0.46554122789700825,0.7886666666666666
9,0.45619212126731873,0.7848571428571428,0.4545929810206095,0.7896666666666666
10,0.44191380153383525,0.7945714285714286,0.4473870129585266,0.7886666666666666
11,0.4316865053517478,0.7997142857142857,0.4806869583129883,0.782
12,0.43761821634428844,0.7938571428571428,0.4660004415512085,0.775
13,0.4431228652681623,0.7917142857142857,0.44448652267456057,0.7873333333333333
14,0.4318714983803885,0.7987142857142857,0.44500359042485554,0.787
15,0.4323714940547943,0.8035714285714286,0.44237874110539754,0.7906666666666666
16,0.4305868451935904,0.799,0.4578514747619629,0.7793333333333333
17,0.4354914854254041,0.7957142857142857,0.46941996868451435,0.7866666666666666
18,0.4342468941552298,0.7964285714285714,0.44363990195592246,0.7953333333333333
19,0.42750931671687536,0.8041428571428572,0.46766240819295246,0.7736666666666666
20,0.42698293818746297,0.7995714285714286,0.4415596078236898,0.791
