epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,0.49776127859524316,0.7735714285714286,0.4320080293814341,0.8153333333333334
2,0.3913640422139849,0.836,0.38203444655736285,0.8443333333333334
3,0.3505007634503501,0.8572857142857143,0.35431912406285604,0.855
4,0.3210813452856881,0.8707142857142857,0.3444421761035919,0.8623333333333333
5,0.30060852365834373,0.8811428571428571,0.32458799036343894,0.8703333333333333
6,0.2880462736402239,0.8851428571428571,0.3142536781628927,0.8703333333333333
7,0.27925600470815387,0.8891428571428571,0.31942788473765055,0.8696666666666667
8,0.2727392109121595,0.89,0.30580988732973735,0.873
9,0.26349623239040376,0.8932857142857142,0.2973540251255035,0.8793333333333333
10,0.2532279781273433,0.899,0.29596822762489317,0.875
11,0.2510257398400988,0.9015714285714286,0.2931088553269704,0.8763333333333333
12,0.2511723584958485,0.8997142857142857,0.2923965659936269,0.8773333333333333
13,0.2376445595196315,0.9047142857142857,0.2894068575700124,0.882
14,0.23762343420301166,0.9067142857142857,0.2872211143175761,0.881
15,0.23546307384967805,0.908,0.296642685453097,0.8733333333333333
16,0.24028058430126736,0.9012857142857142,0.2835079236030579,0.8793333333333333
17,0.22734833206449237,0.9094285714285715,0.28392300367355344,0.883
18,0.22929315749236515,0.911,0.28778417976697285,0.8836666666666667
19,0.23045991846493313,0.9064285714285715,0.28479563995202384,0.8823333333333333
20,0.22567490097454615,0.909,0.29280287178357445,0.8736666666666667
